Id,Label,timeset,modularity_class,degree,clustering,triangles,componentnumber,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
0,Beak,,2,6,0.333333,5,0,6,0.346591,0.425956,0.019083,0.442751
1,Beescratch,,0,8,0.142857,4,0,5,0.371951,0.448634,0.213324,0.356611
2,Bumper,,2,4,0.166667,1,0,7,0.282407,0.350429,0.009073,0.152172
3,CCL,,1,3,0.333333,1,0,7,0.308081,0.368735,0.002374,0.256029
4,Cross,,1,1,0,0,0,8,0.24898,0.293618,0,0.092841
5,DN16,,0,4,0.5,3,0,7,0.238281,0.305621,0.00438,0.191063
6,DN21,,0,6,0.533333,8,0,6,0.267544,0.356831,0.029373,0.305039
7,DN63,,0,5,0.2,2,0,5,0.365269,0.421858,0.118239,0.247425
8,Double,,1,6,0.266667,4,0,6,0.363095,0.435246,0.022366,0.477527
9,Feather,,0,7,0.52381,11,0,7,0.252066,0.351522,0.020894,0.329657
10,Fish,,2,5,0.4,4,0,7,0.312821,0.392779,0.016092,0.276466
11,Five,,1,1,0,0,0,8,0.24898,0.293618,0,0.092841
12,Fork,,1,1,0,0,0,7,0.268722,0.309446,0,0.119824
13,Gallatin,,0,8,0.5,14,0,6,0.271111,0.375956,0.052846,0.377444
14,Grin,,1,12,0.257576,17,0,6,0.376543,0.494262,0.061972,1
15,Haecksel,,1,7,0.238095,5,0,6,0.338889,0.423224,0.033292,0.532595
16,Hook,,1,6,0.6,9,0,7,0.32973,0.41655,0.003305,0.657517
17,Jet,,0,9,0.222222,8,0,6,0.309645,0.411749,0.1143,0.35681
18,Jonah,,1,7,0.52381,11,0,7,0.337017,0.432943,0.014855,0.645573
19,Knit,,0,4,0.5,3,0,5,0.316062,0.372678,0.013314,0.184724
20,Kringel,,1,9,0.138889,5,0,6,0.391026,0.479235,0.102646,0.627379
21,MN105,,1,6,0.533333,8,0,7,0.333333,0.422014,0.012701,0.650379
22,MN23,,0,1,0,0,0,7,0.237354,0.279118,0,0.058727
23,MN60,,1,3,0.333333,1,0,6,0.333333,0.38224,0.042183,0.286857
24,MN83,,1,6,0.533333,8,0,7,0.312821,0.410539,0.007383,0.610215
25,Mus,,0,3,0.666667,2,0,6,0.25523,0.311749,0.001644,0.110748
26,Notch,,0,3,0.666667,2,0,6,0.277273,0.324863,0.004362,0.10935
27,Number1,,0,5,0.4,4,0,5,0.316062,0.38224,0.029237,0.193442
28,Oscar,,2,5,0.3,3,0,5,0.365269,0.424044,0.066757,0.294695
29,Patchback,,1,9,0.25,9,0,7,0.322751,0.441959,0.065529,0.673294
30,PL,,2,5,0.3,3,0,5,0.322751,0.381421,0.03305,0.208857
31,Quasi,,0,1,0,0,0,7,0.237354,0.279118,0,0.058727
32,Ripplefluke,,0,3,0.333333,1,0,7,0.216312,0.278415,0.032787,0.119279
33,Scabs,,1,10,0.333333,15,0,6,0.365269,0.469672,0.057166,0.882359
34,Shmuddel,,1,5,0.3,3,0,7,0.316062,0.394692,0.032695,0.437557
35,SMN5,,1,1,0,0,0,8,0.24498,0.294399,0,0.093387
36,SN100,,1,7,0.047619,1,0,5,0.417808,0.480055,0.248237,0.485737
37,SN4,,1,11,0.236364,13,0,6,0.398693,0.498361,0.13857,0.95912
38,SN63,,1,8,0.285714,8,0,7,0.32973,0.430211,0.045352,0.624166
39,SN89,,0,2,0,0,0,5,0.335165,0.370765,0.070517,0.132006
40,SN9,,1,8,0.25,7,0,5,0.403974,0.480055,0.14315,0.689558
41,SN90,,0,5,0.6,6,0,6,0.297561,0.368033,0.023252,0.289033
42,SN96,,2,6,0.333333,5,0,6,0.32973,0.404098,0.029158,0.307612
43,Stripes,,1,7,0.238095,5,0,7,0.337017,0.432943,0.062831,0.598432
44,Thumper,,1,4,0.166667,1,0,7,0.311224,0.38103,0.012038,0.260064
45,Topless,,1,11,0.309091,17,0,7,0.346591,0.468462,0.04067,0.907961
46,TR120,,1,2,0,0,0,8,0.256303,0.307553,0.003008,0.094981
47,TR77,,2,6,0.4,6,0,6,0.338889,0.410656,0.023201,0.31867
48,TR82,,0,1,0,0,0,7,0.232824,0.2742,0,0.062581
49,TR88,,1,2,0,0,0,8,0.246964,0.294165,0.000929,0.075563
50,TR99,,1,7,0.238095,5,0,7,0.350575,0.449336,0.033411,0.697945
51,Trigger,,1,10,0.244444,11,0,7,0.32973,0.44114,0.084677,0.667463
52,TSN103,,1,4,0.333333,2,0,6,0.342697,0.406831,0.019234,0.411339
53,TSN83,,2,2,0,0,0,8,0.259574,0.311105,0.001193,0.108332
54,Upbang,,0,7,0.380952,8,0,5,0.324468,0.405464,0.099122,0.345005
55,Vau,,1,2,0,0,0,7,0.271111,0.325566,0.000877,0.16706
56,Wave,,0,2,0,0,0,7,0.213287,0.263388,0.000137,0.080817
57,Web,,0,9,0.361111,13,0,6,0.30198,0.402732,0.084205,0.387156
58,Whitetip,,1,1,0,0,0,8,0.24898,0.290886,0,0.086229
59,Zap,,1,5,0.3,3,0,6,0.342697,0.405464,0.020333,0.371485
60,Zig,,0,1,0,0,0,8,0.178363,0.212237,0,0.020519
61,Zipfel,,2,3,0,0,0,7,0.30198,0.359173,0.014195,0.172357
